room,day,time,occupied
Applied Physics Lab (P-1),Su,09:00,false
Applied Physics Lab (P-1),Mo,09:20,true
Applied Physics Lab (P-1),Tu,09:20,true
Applied Physics Lab (P-1),We,09:20,true
Applied Physics Lab (P-1),Th,09:20,true
Applied Physics Lab (P-1),Fr,09:20,true
Applied Physics Lab (P-1),Sa,09:20,true
Applied Physics Lab (P-1),Su,09:20,false
Applied Physics Lab (P-1),Mo,09:40,true
Applied Physics Lab (P-1),Tu,09:40,true
Applied Physics Lab (P-1),We,09:40,true
Applied Physics Lab (P-1),Th,09:40,true
Applied Physics Lab (P-1),Fr,09:40,true
Applied Physics Lab (P-1),Sa,09:40,true
Applied Physics Lab (P-1),Su,09:40,false
Applied Physics Lab (P-1),Mo,10:00,false
Applied Physics Lab (P-1),Tu,10:00,true
Applied Physics Lab (P-1),We,10:00,true
Applied Physics Lab (P-1),Th,10:00,true
Applied Physics Lab (P-1),Fr,10:00,false
Applied Physics Lab (P-1),Sa,10:00,true
Applied Physics Lab (P-1),Su,10:00,false
Applied Physics Lab (P-1),Mo,10:20,false
Applied Physics Lab (P-1),Tu,10:20,true
Applied Physics Lab (P-1),We,10:20,true
Applied Physics Lab (P-1),Th,10:20,true
Applied Physics Lab (P-1),Fr,10:20,false
Applied Physics Lab (P-1),Sa,10:20,true
Applied Physics Lab (P-1),Su,10:20,false
Applied Physics Lab (P-1),Mo,10:40,false
Applied Physics Lab (P-1),Tu,10:40,true
Applied Physics Lab (P-1),We,10:40,true
Applied Physics Lab (P-1),Th,10:40,true
Applied Physics Lab (P-1),Fr,10:40,false
Applied Physics Lab (P-1),Sa,10:40,true
Applied Physics Lab (P-1),Su,10:40,false
Applied Physics Lab (P-1),Mo,11:00,false
Applied Physics Lab (P-1),Tu,11:00,true
Applied Physics Lab (P-1),We,11:00,true
Applied Physics Lab (P-1),Th,11:00,true
Applied Physics Lab (P-1),Fr,11:00,true
Applied Physics Lab (P-1),Sa,11:00,true
Applied Physics Lab (P-1),Su,11:00,false
Applied Physics Lab (P-1),Mo,11:20,false
Applied Physics Lab (P-1),Tu,11:20,true
Applied Physics Lab (P-1),We,11:20,true
Applied Physics Lab (P-1),Th,11:20,true
Applied Physics Lab (P-1),Fr,11:20,true
Applied Physics Lab (P-1),Sa,11:20,true
Applied Physics Lab (P-1),Su,11:20,false
Applied Physics Lab (P-1),Mo,11:40,false
Applied Physics Lab (P-1),Tu,11:40,true
Applied Physics Lab (P-1),We,11:40,true
Applied Physics Lab (P-1),Th,11:40,true
Applied Physics Lab (P-1),Fr,11:40,true
Applied Physics Lab (P-1),Sa,11:40,true
Applied Physics Lab (P-1),Su,11:40,false
Applied Physics Lab (P-1),Mo,12:00,true
Applied Physics Lab (P-1),Tu,12:00,false
Applied Physics Lab (P-1),We,12:00,true
Applied Physics Lab (P-1),Th,12:00,true
Applied Physics Lab (P-1),Fr,12:00,true
Applied Physics Lab (P-1),Sa,12:00,true
Applied Physics Lab (P-1),Su,12:00,false
Applied Physics Lab (P-1),Mo,12:20,true
Applied Physics Lab (P-1),Tu,12:20,false
Applied Physics Lab (P-1),We,12:20,true
Applied Physics Lab (P-1),Th,12:20,true
Applied Physics Lab (P-1),Fr,12:20,true
Applied Physics Lab (P-1),Sa,12:20,true
Applied Physics Lab (P-1),Su,12:20,false
Applied Physics Lab (P-1),Mo,12:40,true
Applied Physics Lab (P-1),Tu,12:40,false
Applied Physics Lab (P-1),We,12:40,true
Applied Physics Lab (P-1),Th,12:40,true
Applied Physics Lab (P-1),Fr,12:40,true
Applied Physics Lab (P-1),Sa,12:40,true
Applied Physics Lab (P-1),Su,12:40,false
Applied Physics Lab (P-1),Mo,13:00,true
Applied Physics Lab (P-1),Tu,13:00,false
Applied Physics Lab (P-1),We,13:00,true
Applied Physics Lab (P-1),Th,13:00,true
Applied Physics Lab (P-1),Fr,13:00,false
Applied Physics Lab (P-1),Sa,13:00,true
Applied Physics Lab (P-1),Su,13:00,false
Applied Physics Lab (P-1),Mo,13:20,true
Applied Physics Lab (P-1),Tu,13:20,false
Applied Physics Lab (P-1),We,13:20,true
Applied Physics Lab (P-1),Th,13:20,true
Applied Physics Lab (P-1),Fr,13:20,false
Applied Physics Lab (P-1),Sa,13:20,false
Applied Physics Lab (P-1),Su,13:20,false
Applied Physics Lab (P-1),Mo,13:40,true
Applied Physics Lab (P-1),Tu,13:40,false
Applied Physics Lab (P-1),We,13:40,true
Applied Physics Lab (P-1),Th,13:40,true
Applied Physics Lab (P-1),Fr,13:40,false
Applied Physics Lab (P-1),Sa,13:40,false
Applied Physics Lab (P-1),Su,13:40,false
Applied Physics Lab (P-1),Mo,14:00,false
Applied Physics Lab (P-1),Tu,14:00,false
Applied Physics Lab (P-1),We,14:00,false
Applied Physics Lab (P-1),Th,14:00,false
Applied Physics Lab (P-1),Fr,14:00,false
Applied Physics Lab (P-1),Sa,14:00,false
Applied Physics Lab (P-1),Su,14:00,false
Applied Physics Lab (P-1),Mo,14:20,false
Applied Physics Lab (P-1),Tu,14:20,false
Applied Physics Lab (P-1),We,14:20,false
Applied Physics Lab (P-1),Th,14:20,false
Applied Physics Lab (P-1),Fr,14:20,false
Applied Physics Lab (P-1),Sa,14:20,false
Applied Physics Lab (P-1),Su,14:20,false
Applied Physics Lab (P-1),Mo,14:40,false
Applied Physics Lab (P-1),Tu,14:40,false
Applied Physics Lab (P-1),We,14:40,false
Applied Physics Lab (P-1),Th,14:40,false
Applied Physics Lab (P-1),Fr,14:40,false
Applied Physics Lab (P-1),Sa,14:40,false
Applied Physics Lab (P-1),Su,14:40,false
Applied Physics Lab (P-1),Mo,15:00,false
Applied Physics Lab (P-1),Tu,15:00,false
Applied Physics Lab (P-1),We,15:00,false
Applied Physics Lab (P-1),Th,15:00,false
Applied Physics Lab (P-1),Fr,15:00,false
Applied Physics Lab (P-1),Sa,15:00,false
Applied Physics Lab (P-1),Su,15:00,false
Applied Physics Lab (P-1),Mo,15:20,false
Applied Physics Lab (P-1),Tu,15:20,false
Applied Physics Lab (P-1),We,15:20,false
Applied Physics Lab (P-1),Th,15:20,false
Applied Physics Lab (P-1),Fr,15:20,false
Applied Physics Lab (P-1),Sa,15:20,false
Applied Physics Lab (P-1),Su,15:20,false
Applied Physics Lab (P-1),Mo,15:40,false
Applied Physics Lab (P-1),Tu,15:40,false
Applied Physics Lab (P-1),We,15:40,false
Applied Physics Lab (P-1),Th,15:40,false
Applied Physics Lab (P-1),Fr,15:40,false
Applied Physics Lab (P-1),Sa,15:40,false
Applied Physics Lab (P-1),Su,15:40,false
B-5,Mo,08:00,false
B-5,Tu,08:00,true
B-5,We,08:00,true
B-5,Th,08:00,false
B-5,Fr,08:00,true
B-5,Sa,08:00,true
B-5,Su,08:00,false
B-5,Mo,08:20,false
B-5,Tu,08:20,true
B-5,We,08:20,true
B-5,Th,08:20,false
B-5,Fr,08:20,true
B-5,Sa,08:20,true
B-5,Su,08:20,false
B-5,Mo,08:40,false
B-5,Tu,08:40,true
